symbol,rank,sector,industry
HLT,2,Hilton Worldwide Holdings Inc.,Consumer Services,Hotels/Resorts
LALT,0,PowerShares Multi-Strategy Alternative Portfolio,n/a,n/a
E,5,ENI S.p.A.,Energy,Oil & Gas Production
MLHR,4,Herman Miller Inc.,Consumer Durables,Office Equipment/Supplies/Services
GOGO,3,Gogo Inc.,Consumer Services,Telecommunications Equipment
EVTC,3,Evertec Inc.,Technology,EDP Services
YGE,4,Yingli Green Energy Holding Company Limited,Technology,Semiconductors
IPXL,1,Impax Laboratories Inc.,Health Care,Major Pharmaceuticals
PFBC,3,Preferred Bank,n/a,n/a
IILG,3,Interval Leisure Group Inc.,Finance,Real Estate
MBLY,3,Mobileye N.V.,Technology,Computer Software: Prepackaged Software
MBLX,3,Metabolix Inc.,Basic Industries,Containers/Packaging
RRTS,3,Roadrunner Transportation Systems Inc,Transportation,Oil Refining/Marketing
PFBX,3,Peoples Financial Corporation,Finance,Major Banks
PBFX,2,PBF Logistics LP,Energy,Natural Gas Distribution
SRSC,0,Sears Canada Inc. ,Consumer Services,Department/Specialty Retail Stores
ARTNA,3,Artesian Resources Corporation,Public Utilities,Water Supply
CCOI,2,Cogent Communications Holdings Inc.,Technology,Computer Software: Prepackaged Software
VAL,3,Valspar Corporation (The),Basic Industries,Paints/Coatings
VAC,2,Marriot Vacations Worldwide Corporation,Finance,Real Estate
SKLNW,-1,Skyline Medical Inc.,n/a,n/a
VAR,4,Varian Medical Systems Inc.,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
EDF,-1,Stone Harbor Emerging Markets Income Fund,n/a,n/a
RLH,0,Red Lion Hotels Corporation,Consumer Services,Hotels/Resorts
PSTR,0,PostRock Energy Corporation,Energy,Oil & Gas Production
TAPR,0,Barclays Inverse US Treasury Composite ETN,Finance,Commercial Banks
SBFG,0,SB Financial Group Inc.,Finance,Major Banks
EDE,2,Empire District Electric Company (The),Public Utilities,Electric Utilities: Central
PSTB,3,Park Sterling Corporation,Finance,Major Banks
HBOS,2,Heritage Financial Group,Finance,Savings Institutions
PSTI,2,Pluristem Therapeutics Inc.,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
LRCX,2,Lam Research Corporation,Technology,Industrial Machinery/Components
LMT,3,Lockheed Martin Corporation,Capital Goods,Military/Government/Technical
WNRL,3,Western Refining Logistics LP,Energy,Natural Gas Distribution
HMTV,0,Hemisphere Media Group Inc.,Consumer Services,Television Services
VCEL,3,Vericel Corporation,n/a,n/a
GALTU,-1,Galectin Therapeutics Inc.,Health Care,Major Pharmaceuticals
GALTW,-1,Galectin Therapeutics Inc.,Health Care,Major Pharmaceuticals
SGRP,0,SPAR Group Inc.,Miscellaneous,Business Services
SFUN,3,SouFun Holdings Limited,Technology,EDP Services
UVV,0,Universal Corporation,Consumer Services,Farming/Seeds/Milling
SNBC,3,Sun Bancorp Inc.,Finance,Commercial Banks
FNGN,3,Financial Engines Inc.,Finance,Investment Managers
PCLN,4,The Priceline Group Inc. ,Miscellaneous,Business Services
BRFS,3,BRF S.A.,Consumer Non-Durables,Meat/Poultry/Fish
NWLI,0,National Western Life Insurance Company,Finance,Life Insurance
UVE,1,UNIVERSAL INSURANCE HOLDINGS INC,Finance,Property-Casualty Insurers
LITB,4,LightInTheBox Holding Co. Ltd.,Consumer Services,Catalog/Specialty Distribution
DIOD,3,Diodes Incorporated,Technology,Semiconductors
VALE/P,-1,VALE S.A.,n/a,n/a
CFFI,0,C&F Financial Corporation,Finance,Major Banks
MD,2,Mednax Inc,Health Care,Hospital/Nursing Management
MG,2,Mistras Group Inc,Consumer Services,Military/Government/Technical
RWC,0,RELM Wireless Corporation,Technology,Radio And Television Broadcasting And Communications Equipment
MA,3,Mastercard Incorporated,Miscellaneous,Business Services
ALOG,1,Analogic Corporation,Capital Goods,Electrical Products
MC,2,Moelis & Company,Finance,Investment Managers
MM,3,Millennial Media Inc.,Technology,Advertising
MO,3,Altria Group,Consumer Non-Durables,Farming/Seeds/Milling
MN,5,Manning & Napier Inc.,Finance,Investment Managers
BLOX,3,Infoblox Inc.,Technology,EDP Services
MU,3,Micron Technology Inc.,Technology,Semiconductors
MT,3,ArcelorMittal,Basic Industries,Steel/Iron Ore
MW,4,Men&#39;s Wearhouse Inc. (The),Consumer Services,Clothing/Shoe/Accessory Stores
RDEN,3,Elizabeth Arden Inc.,Consumer Non-Durables,Package Goods/Cosmetics
RWT,1,Redwood Trust Inc.,Consumer Services,Real Estate Investment Trusts
ALOT,0,Astro-Med Inc.,Technology,Computer peripheral equipment
MR,3,Mindray Medical International Limited,Health Care,Medical/Dental Instruments
PLMT,0,Palmetto Bancshares Inc. (SC),Finance,Major Banks
MY,0,China Ming Yang Wind Power Group Limited,Energy,Industrial Machinery/Components
MX,0,MagnaChip Semiconductor Corporation,Technology,Semiconductors
HWBK,0,Hawthorn Bancshares Inc.,Finance,Major Banks
DOM,0,Dominion Resources Black Warrior Trust,Energy,Coal Mining
DOC,4,Physicians Realty Trust,Consumer Services,Real Estate Investment Trusts
COSI,0,Cosi Inc.,Consumer Services,Restaurants
DOX,3,Amdocs Limited,Technology,EDP Services
COST,3,Costco Wholesale Corporation,Consumer Services,Department/Specialty Retail Stores
DOV,3,Dover Corporation,Technology,Industrial Machinery/Components
LDRH,0,LDR Holding Corporation,Health Care,Medical/Dental Instruments
SWIR,3,Sierra Wireless Inc.,Technology,Radio And Television Broadcasting And Communications Equipment
POWR,2,PowerSecure International Inc,Miscellaneous,Business Services
MSON,0,MISONIX Inc.,Capital Goods,Medical Specialities
POWL,3,Powell Industries Inc.,Consumer Durables,Electrical Products
GIFI,0,Gulf Island Fabrication Inc.,Capital Goods,Metal Fabrications
SUSQ,3,Susquehanna Bancshares Inc.,Finance,Major Banks
VPFG,-1,ViewPoint Financial Group Inc.,Finance,Savings Institutions
PUK,4,Prudential Public Limited Company,Finance,Life Insurance
INUV,3,Inuvo Inc,Consumer Services,Advertising
THGA,-1,The Hanover Insurance Group Inc.,Finance,Property-Casualty Insurers
EQY,3,Equity One Inc.,Consumer Services,Real Estate Investment Trusts
LTRPB,0,Liberty TripAdvisor Holdings Inc.,Technology,EDP Services
LTRPA,3,Liberty TripAdvisor Holdings Inc.,Technology,EDP Services
ITCI,3,Intra-Cellular Therapies Inc.,Health Care,Major Pharmaceuticals
KNL,3,Knoll Inc.,Consumer Durables,Office Equipment/Supplies/Services
BAX,4,Baxter International Inc.,Health Care,Medical/Dental Instruments
BAF,-1,BlackRock Income Investment Quality Trust,n/a,n/a
DPO,-1,Dow 30 Premium,n/a,n/a
BAC,4,Bank of America Corporation,Finance,Major Banks
TRLA,3,Trulia Inc.,Technology,EDP Services
RNDY,4,Roundy&#39;s Inc.,Consumer Services,Food Chains
BAM,2,Brookfield Asset Management Inc,Consumer Services,Building operators
DPM,3,DCP Midstream Partners LP,Public Utilities,Natural Gas Distribution
BAH,1,Booz Allen Hamilton Holding Corporation,Consumer Services,Professional Services
QLTY,4,Quality Distribution Inc.,Transportation,Trucking Freight/Courier Services
SBRAP,-1,Sabra Healthcare REIT Inc.,Consumer Services,Real Estate Investment Trusts
QLTI,3,QLT Inc.,Health Care,Major Pharmaceuticals
EQS,0,Equus Total Return Inc.,n/a,n/a
STE,3,STERIS Corporation,Health Care,Industrial Specialties
RXII,3,RXI Pharmaceuticals Corporation,Health Care,Major Pharmaceuticals
NEOG,4,Neogen Corporation,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
STB,4,Student Transportation Inc,Transportation,Other Transportation
STC,3,Stewart Information Services Corporation,Finance,Specialty Insurers
STL,3,Sterling Bancorp,Finance,Major Banks
STM,1,STMicroelectronics N.V.,Technology,Semiconductors
STN,1,Stantec Inc,Consumer Services,Military/Government/Technical
STO,5,Statoil ASA,Energy,Integrated oil Companies
NEON,3,Neonode Inc.,Capital Goods,Industrial Machinery/Components
STI,3,SunTrust Banks Inc.,Finance,Major Banks
STJ,3,St. Jude Medical Inc.,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
STK,-1,Columbia Seligman Premium Technology Growth Fund Inc,n/a,n/a
STT,3,State Street Corporation,Finance,Major Banks
HTLD,2,Heartland Express Inc.,Transportation,Trucking Freight/Courier Services
FDUS,3,Fidus Investment Corporation,n/a,n/a
NEOT,0,Neothetics Inc.,n/a,n/a
STS,0,Supreme Industries Inc.,Capital Goods,Construction/Ag Equipment/Trucks
STX,3,Seagate Technology.,Technology,Electronic Components
STZ,2,Constellation Brands Inc,Consumer Non-Durables,Beverages (Production/Distribution)
TFM,3,The Fresh Market Inc.,Consumer Services,Food Chains
NCZ,-1,AllianzGI Convertible & Income Fund II,n/a,n/a
AGCO,3,AGCO Corporation,Capital Goods,Industrial Machinery/Components
NCQ,3,NovaCopper Inc.,Basic Industries,Precious Metals
TFG,-1,Goldman Sachs Group Inc. (The),Finance,Finance: Consumer Services
NCS,3,NCI Building Systems Inc.,Capital Goods,Metal Fabrications
NCT,5,Newcastle Investment Corporation,Consumer Services,Real Estate Investment Trusts
NCV,0,AllianzGI Convertible & Income Fund,n/a,n/a
ENRJ,0,EnerJex Resources Inc.,Energy,Oil & Gas Production
NCI,3,Navigant Consulting Inc.,Consumer Services,Professional Services
TFX,3,Teleflex Incorporated,Health Care,Medical/Dental Instruments
NCA,0,Nuveen California Municipal Value Fund Inc.,n/a,n/a
NCB,-1,Nuveen California Municipal Value Fund 2,n/a,n/a
FNV,3,Franco-Nevada Corporation,Basic Industries,Precious Metals
IFMI,0,Institutional Financial Markets Inc.,Finance,Investment Bankers/Brokers/Service
LIN,-1,LIN Media LLC,Consumer Services,Broadcasting
LII,3,Lennox International Inc.,Capital Goods,Industrial Machinery/Components
FNF,3,Fidelity National Financial Inc.,Finance,Specialty Insurers
IGOV,0,iShares S&P/Citigroup International Treasury Bond Fund,n/a,n/a
FNB,3,F.N.B. Corporation,Finance,Major Banks
PDEX,0,Pro-Dex Inc.,Health Care,Medical/Dental Instruments
ACG,0,ALLIANCEBERNSTEIN INCOME FUND INC,n/a,n/a
CLVS,3,Clovis Oncology Inc.,Health Care,Major Pharmaceuticals
DLHC,0,DLH Holdings Corp.,Technology,Professional Services
RGEN,4,Repligen Corporation,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
QGEN,3,Qiagen N.V.,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ACH,0,Aluminum Corporation of China Limited,Basic Industries,Aluminum
MFSF,3,MutualFirst Financial Inc.,Finance,Major Banks
GCTS,-1,GCT Semiconductor Inc.,n/a,n/a
BASI,0,Bioanalytical Systems Inc.,Health Care,Biotechnology: Commercial Physical & Biological Resarch
RTGN,0,Ruthigen Inc.,Health Care,Major Pharmaceuticals
KAI,1,Kadant Inc,Technology,Industrial Machinery/Components
FITBI,-1,Fifth Third Bancorp,Finance,Major Banks
RHT,3,Red Hat Inc.,Technology,Computer Software: Programming Data Processing
RHI,3,Robert Half International Inc.,Technology,Professional Services
KAR,3,KAR Auction Services Inc,Consumer Durables,Automotive Aftermarket
KAP,-1,KCAP Financial Inc.,n/a,n/a
ABEV,3,Ambev S.A.,Consumer Non-Durables,Beverages (Production/Distribution)
WF,3,Woori Bank,Finance,Commercial Banks
FCFS,3,First Cash Financial Services Inc.,Consumer Services,Other Specialty Stores
BMRN,3,BioMarin Pharmaceutical Inc.,Health Care,Major Pharmaceuticals
COLB,3,Columbia Banking System Inc.,Finance,Major Banks
ACY,5,AeroCentury Corp.,Technology,Diversified Commercial Services
BMRC,3,Bank of Marin Bancorp,Finance,Major Banks
DMND,3,Diamond Foods Inc.,Consumer Non-Durables,Packaged Foods
JCTCF,0,Jewett-Cameron Trading Company,Consumer Services,RETAIL: Building Materials
EVOK,3,Evoke Pharma Inc.,Health Care,Major Pharmaceuticals
EVOL,2,Evolving Systems Inc.,Technology,EDP Services
OXY,5,Occidental Petroleum Corporation,Energy,Oil & Gas Production
AEIS,3,Advanced Energy Industries Inc.,Capital Goods,Industrial Machinery/Components
OXM,4,Oxford Industries Inc.,Consumer Non-Durables,Apparel
OXF,0,Oxford Resource Partners LP,Energy,Coal Mining
CZZ,3,Cosan Limited,Consumer Non-Durables,Specialty Foods
YELP,4,Yelp Inc.,Consumer Services,Other Consumer Services
CZR,2,Caesars Entertainment Corporation,Consumer Services,Hotels/Resorts
HIG/WS,-1,Hartford Financial Services Group Inc. (The),n/a,n/a
RGP,3,Regency Energy Partners LP,Energy,Oil & Gas Production
ATE,0,Advantest Corporation (Kabushiki Kaisha Advantest) ADS,Technology,Semiconductors
CBST,2,Cubist Pharmaceuticals Inc.,Health Care,Major Pharmaceuticals
ATO,2,Atmos Energy Corporation,Public Utilities,Oil/Gas Transmission
ATL,3,Atlatsa Resources Corporation,Basic Industries,Precious Metals
MERU,0,Meru Networks Inc.,Technology,Computer Communications Equipment
ATI,4,Allegheny Technologies Incorporated,Basic Industries,Steel/Iron Ore
ATV,0,Acorn International Inc.,Consumer Services,Other Specialty Stores
ATW,3,Atwood Oceanics Inc.,Energy,Oil & Gas Production
ATU,4,Actuant Corporation,Technology,Industrial Machinery/Components
ATR,2,AptarGroup Inc.,Consumer Non-Durables,Plastic Products
CBSH,3,Commerce Bancshares Inc.,Finance,Major Banks
MERC,2,Mercer International Inc.,Basic Industries,Paper
CVGW,3,Calavo Growers Inc.,Consumer Non-Durables,Farming/Seeds/Milling
AAME,0,Atlantic American Corporation,Finance,Life Insurance
ENOC,4,EnerNOC Inc.,Technology,Computer Software: Programming Data Processing
DAEG,0,Daegis Inc,Technology,Computer Software: Prepackaged Software
AAMC,0,Altisource Asset Management Corp,Finance,Real Estate
HTGC,3,Hercules Technology Growth Capital Inc.,n/a,n/a
TTEC,3,TeleTech Holdings Inc.,Technology,Professional Services
HTGY,-1,Hercules Technology Growth Capital Inc.,n/a,n/a
HTGX,-1,Hercules Technology Growth Capital Inc.,n/a,n/a
HTGZ,-1,Hercules Technology Growth Capital Inc.,n/a,n/a
TTEK,3,Tetra Tech Inc.,Consumer Services,Military/Government/Technical
LSCC,3,Lattice Semiconductor Corporation,Technology,Semiconductors
CARZ,3,First Trust NASDAQ Global Auto Index Fund,n/a,n/a
CFN,4,CareFusion Corporation,Health Care,Medical/Dental Instruments
PNX,3,Phoenix Companies Inc. (The),Finance,Life Insurance
CARV,0,Carver Bancorp Inc.,Finance,Savings Institutions
CART,0,Carolina Trust Bank,n/a,n/a
NERV,3,Minerva Neurosciences Inc,Health Care,Major Pharmaceuticals
CARO,0,Carolina Financial Corporation,Finance,Major Banks
CARB,2,Carbonite Inc.,Technology,EDP Services
CARA,3,Cara Therapeutics Inc.,Health Care,Major Pharmaceuticals
LBTYA,2,Liberty Global plc,Consumer Services,Television Services
LBTYB,0,Liberty Global plc,Consumer Services,Television Services
LBTYK,0,Liberty Global plc,Consumer Services,Television Services
EUFN,3,iShares MSCI Europe Financials Sector Index Fund,n/a,n/a
BOTJ,0,Bank of the James Financial Group Inc.,Finance,Major Banks
NANO,2,Nanometrics Incorporated,Capital Goods,Industrial Machinery/Components
HBAN,3,Huntington Bancshares Incorporated,Finance,Major Banks
BOTA,0,Biota Pharmaceuticals Inc.,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
SJR,5,Shaw Communications Inc.,Consumer Services,Television Services
CGI,2,Celadon Group Inc.,Transportation,Trucking Freight/Courier Services
LMNX,2,Luminex Corporation,Health Care,Medical/Dental Instruments
LMNS,3,Lumenis Ltd.,Health Care,Medical Specialities
LMNR,4,Limoneira Co,Consumer Non-Durables,Farming/Seeds/Milling
AZPN,3,Aspen Technology Inc.,Technology,EDP Services
VRNGW,-1,Vringo Inc.,Consumer Services,Telecommunications Equipment
SJI,3,South Jersey Industries Inc.,Public Utilities,Oil/Gas Transmission
GTLS,5,Chart Industries Inc.,Capital Goods,Metal Fabrications
ZAGG,2,ZAGG Inc,Consumer Services,Other Specialty Stores
ZSAN,-1,Zosano Pharma Corporation,n/a,n/a
SJM,3,J.M. Smucker Company (The),Consumer Non-Durables,Packaged Foods
FPRX,1,Five Prime Therapeutics Inc.,Health Care,Major Pharmaceuticals
OHGI,0,One Horizon Group Inc.,Public Utilities,Telecommunications Equipment
XIN,0,Xinyuan Real Estate Co Ltd,Basic Industries,Homebuilding
XIV,0,VelocityShares Daily Inverse VIX Short Term ETN,Finance,Investment Bankers/Brokers/Service
PETS,3,PetMed Express Inc.,Health Care,Medical/Nursing Services
XPL,3,Solitario Exploration & Royalty Corp,Basic Industries,Precious Metals
OVBC,0,Ohio Valley Banc Corp.,Finance,Major Banks
LNDC,3,Landec Corporation,Basic Industries,Major Chemicals
GWRU,-1,Genesee & Wyoming Inc.,Transportation,Railroads
CGIX,2,Cancer Genetics Inc.,Health Care,Medical Specialities
IIJI,3,Internet Initiative Japan Inc.,Technology,Computer Software: Programming Data Processing
GWRE,2,Guidewire Software Inc.,Technology,Computer Software: Prepackaged Software
WTBA,3,West Bancorporation,Finance,Major Banks
TFSC,-1,1347 Capital Corp.,Finance,Business Services
SDRL,3,Seadrill Limited,Energy,Oil & Gas Production
CCMP,3,Cabot Microelectronics Corporation,Technology,Semiconductors
VGM,0,Invesco Trust for Investment Grade Municipals,n/a,n/a
VGI,-1,Virtus Global Multi-Sector Income Fund,n/a,n/a
VGZ,3,Vista Gold Corporation,Basic Industries,Precious Metals
VGR,3,Vector Group Ltd.,Consumer Non-Durables,Farming/Seeds/Milling
AINV,3,Apollo Investment Corporation,n/a,n/a
SPKE,4,Spark Energy Inc.,Public Utilities,Power Generation
MPEL,5,Melco Crown Entertainment Limited,Consumer Services,Hotels/Resorts
MKTX,2,MarketAxess Holdings Inc.,Finance,Investment Bankers/Brokers/Service
MPET,3,Magellan Petroleum Corporation,Energy,Oil & Gas Production
WWD,3,Woodward Inc.,Energy,Industrial Machinery/Components
QADA,0,QAD Inc.,Technology,Computer Software: Prepackaged Software
AINC,0,Ashford Inc.,Consumer Services,Professional Services
MKTO,2,Marketo Inc.,Technology,Computer Software: Prepackaged Software
FSC,3,Fifth Street Finance Corp.,n/a,n/a
FSD,-1,First Trust High Income Long Short Fund,n/a,n/a
FSI,2,Flexible Solutions International Inc.,Basic Industries,Major Chemicals
FSL,3,Freescale Semiconductor Ltd.,Technology,Semiconductors
FSM,3,Fortuna Silver Mines Inc.,Basic Industries,Precious Metals
RELV,0,Reliv&#39; International Inc.,Health Care,Major Pharmaceuticals
FSP,4,Franklin Street Properties Corp.,Consumer Services,Real Estate Investment Trusts
FSS,3,Federal Signal Corporation,Capital Goods,Auto Manufacturing
AMWD,3,American Woodmark Corporation,Basic Industries,Forest Products
SIVBO,-1,SVB Financial Group,Finance,Major Banks
ZTS,3,Zoetis Inc.,Health Care,Major Pharmaceuticals
ZTR,0,Zweig Total Return Fund Inc. (The),n/a,n/a
NYMX,0,Nymox Pharmaceutical Corporation,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
RUK,4,Reed Elsevier PLC,Consumer Services,Publishing
PLOW,1,Douglas Dynamics Inc.,Capital Goods,Construction/Ag Equipment/Trucks
ALIM,3,Alimera Sciences Inc.,Health Care,Major Pharmaceuticals
BLMT,0,BSB Bancorp Inc.,Finance,Major Banks
NYMT,4,New York Mortgage Trust Inc.,Consumer Services,Real Estate Investment Trusts
BLMN,3,Bloomin&#39; Brands Inc.,Consumer Services,Restaurants
HCBK,3,Hudson City Bancorp Inc.,Finance,Banks
DIN,3,DineEquity Inc,Consumer Services,Restaurants
RECN,1,Resources Connection Inc.,Miscellaneous,Business Services
JHI,0,John Hancock Investors Trust,n/a,n/a
INSM,4,Insmed Inc.,Health Care,Major Pharmaceuticals
JHP,-1,Nuveen Quality Preferred Income Fund 3,n/a,n/a
JHS,0,John Hancock Income Securities Trust,n/a,n/a
DIT,0,AMCON Distributing Company,Consumer Non-Durables,Food Distributors
JHX,0,James Hardie Industries plc.,Capital Goods,Building Materials
DIS,3,Walt Disney Company (The),Consumer Services,Television Services
BWFG,0,Bankwell Financial Group Inc.,Finance,Major Banks
SPPRP,-1,Supertel Hospitality Inc.,Consumer Services,Real Estate Investment Trusts
